TYPE;NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation;Location
0;M97;NGC 3587;planetary_nebula;Spring / Printemps;11;Big Bear;Grande Ourse;Ursa Major;11:14:47.71;+55:01:08.5;10000;194'';M97.jpg;http://www.lasam.ca/M097.JPG;UMa;location/Messier-97-location.jpg
0;M98;NGC 4192;galaxy;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:13:48.29;+14:54:01.2;36000000;9,5' x 3,2';M98.jpg;http://www.lasam.ca/M098.JPG;Com;location/Messier-98-location.jpg
0;M99;NGC 4254;galaxy;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:18:49.60;+14:24:59.4;41000000;5,4' x 4,8';M99.jpg;http://www.lasam.ca/M099.JPG;Com;location/Messier-99-location.jpg
0;M100;NGC 4321;galaxy;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:22:54.83;+15:49:18.5;41000000;6,9' x 6,2';M100.jpg;http://www.lasam.ca/M100.JPG;Com;location/Messier-100-location.jpg
0;M101;NGC 5457;galaxy;Spring / Printemps;7;Big Bear;Grande Ourse;Ursa Major;14:03:12.54;+54:20:56.2;23000000;27,0' x 26,0';M101.jpg;http://www.lasam.ca/M101.JPG;UMa;location/Messier-101-location.jpg
0;M102;NGC 5866;galaxy;Spring / Printemps;10;;;;15:06:29.5 ;+55:45:48.1;23000000;5,2' x 2,3';M102.jpg;http://www.lasam.ca/M102.JPG;;location/Messier-102-location.jpg
0;M103;NGC 581;open_cluster;Autumn / Automne;7;Cassiopeia;Cassiopée;Cassiopeia;01:33:21.81;+60:39:28.8;8500;5,0';M103.jpg;http://www.lasam.ca/M103.JPG;Cas;location/Messier-103-location.jpg
0;M104;NGC 4594;galaxy;Spring / Printemps;8;Crow;Corbeau;Corvus;12:39:59.43;-11:37:23.0;40000000;8,9' x 4,1';M104.jpg;http://www.lasam.ca/M104.JPG;Crv;location/Messier-104-location.jpg
0;M105;NGC 3379;galaxy;Spring / Printemps;9;Lion;Lion;Leo;10:47:49.59;+12:34:53.8;21500000;4,5' x 4,0';M105.jpg;http://www.lasam.ca/M105.JPG;Leo;location/Messier-105-location.jpg
0;M106;NGC 4258;galaxy;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:18:57.50;+47:18:14.3;20000000;18,0' x 7,9';M106.jpg;http://www.lasam.ca/M106.JPG;CVn;location/Messier-106-location.jpg
