NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation
M68;NGC 4590;Globular Cluster / Amas Globulaire;Spring / Printemps;8;Hydra, Sea Snake;Hydre;Hydra;12:39:28.01;-26:44:34.9;36000;9,8';/static/images/messier/M68.jpg;http://www.lasam.ca/messier/M068.JPG;Hya
M69;NGC 6637;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:31:23.23;-32:20:52.7;23500;3,8';/static/images/messier/M69.jpg;http://www.lasam.ca/messier/M069.JPG;Sgr
M70;NGC 6681;Globular Cluster / Amas Globulaire;Summer / Été;8;Archer;Sagittaire;Sagittarius;18:43:12.64;-32:17:30.8;65000;4,1';/static/images/messier/M70.jpg;http://www.lasam.ca/messier/M070.JPG;Sgr
M71;NGC 6838;Globular Cluster / Amas Globulaire;Summer / Été;8;Arrow;Flèche;Sagitta;19:53:46.11;+18:46:42.2;13000;6,1';/static/images/messier/M71.jpg;http://www.lasam.ca/messier/M071.JPG;Sge
M72;NGC 6981;Globular Cluster / Amas Globulaire;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:53:27.91;-12:32:13.4;62000;5,1';/static/images/messier/M72.jpg;http://www.lasam.ca/messier/M072.JPG;Aqr
M73;NGC 6994;Open Cluster / Amas Ouvert;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:58:55.97;-12:38:07.8;;2,8';/static/images/messier/M73.jpg;http://www.lasam.ca/messier/M073.JPG;Aqr
M74;NGC 628;Galaxy / Galaxie;Autumn / Automne;9;Fishes;Les Poissons;Pisces;01:36:41.75;+15:47:01.2;26000000;10,0' x 9,6';/static/images/messier/M74.jpg;http://www.lasam.ca/messier/M074.JPG;Psc
M75;NGC 6864;Globular Cluster / Amas Globulaire;Summer / Été;8;Archer;Sagittaire;Sagittarius;20:06:04.84;-21:55:20.0;78500;4,6';/static/images/messier/M75.jpg;http://www.lasam.ca/messier/M075.JPG;Sgr
M76;NGC 650;Planetary Nebula / Nébuleuse Planétaire;Autumn / Automne;10;Perseus;Persée;Perseus;01:42:19.69;+51:34:31.7;8200;65'';/static/images/messier/M76.jpg;http://www.lasam.ca/messier/M076.JPG;Per
M77;NGC 1068;Galaxy / Galaxie;Autumn / Automne;8;Sea-monster;Baleine;Cetus;02:42:40.71;-00:00:47.8;52000000;6,9' x 5,9';/static/images/messier/M77.jpg;http://www.lasam.ca/messier/M077.JPG;Cet
M78;NGC 2068;Reflection Nebula / Nébuleuse à réflexion;Winter / Hiver;8;Orion, Hunter;Orion;Orion;05:46:45.82;+00:04:45.5;1630;8,0' x 6,0';/static/images/messier/M78.jpg;http://www.lasam.ca/messier/M078.JPG;Ori
M79;NGC 1904;Globular Cluster / Amas Globulaire;Winter / Hiver;8;Hare;Lièvre;Lepus;05:24:10.59;-24:31:27.2;43400;7,8';/static/images/messier/M79.jpg;http://www.lasam.ca/messier/M079.JPG;Lep
M80;NGC 6093;Globular Cluster / Amas Globulaire;Summer / Été;7;Scorpion;Scorpion;Scorpius;16:17:02.51;-22:58:30.4;36000;5,1';/static/images/messier/M80.jpg;http://www.lasam.ca/messier/M080.JPG;Sco
M81;NGC 3031;Galaxy / Galaxie;Spring / Printemps;6;Big Bear;Grande Ourse;Ursa Major;09:55:33.17;+69:03:55.1;8500000;26,0' x 14,0';/static/images/messier/M81.jpg;http://www.lasam.ca/messier/M081.JPG;UMa
M82;NGC 3034;Galaxy / Galaxie;Spring / Printemps;8;Big Bear;Grande Ourse;Ursa Major;09:55:52.73;+69:40:45.8;8500000;11,0' x 4,6';/static/images/messier/M82.jpg;http://www.lasam.ca/messier/M082.JPG;UMa
M83;NGC 5236;Galaxy / Galaxie;Spring / Printemps;7;Hydra, Sea Snake;Hydre;Hydra;13:37:00.95;-29:51:55.5;8500000;11,0' x 10,0';/static/images/messier/M83.jpg;http://www.lasam.ca/messier/M083.JPG;Hya
M84;NGC 4374;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:25:03.74;+12:53:13.1;41000000;5,0' x 4,4';/static/images/messier/M84.jpg;http://www.lasam.ca/messier/M084.JPG;Vir
M85;NGC 4382;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:25:24.11;+18:11:29.4;41000000;7,1' x 5,2';/static/images/messier/M85.jpg;http://www.lasam.ca/messier/M085.JPG;Com
M86;NGC 4406;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:26:11.74;+12:56:46.4;20000000;7,4' x 5,5';/static/images/messier/M86.jpg;http://www.lasam.ca/messier/M086.JPG;Vir
M87;NGC 4486;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:30:49.42;+12:23:28.0;63000000;7,2' x 6,8';/static/images/messier/M87.jpg;http://www.lasam.ca/messier/M087.JPG;Vir
M88;NGC 4501;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:31:59.16;+14:25:13.4;41000000;6,9' x 3,9';/static/images/messier/M88.jpg;http://www.lasam.ca/messier/M088.JPG;Com
M89;NGC 4552;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:35:39.81;+12:33:22.8;41000000;4,2' x 4,2';/static/images/messier/M89.jpg;http://www.lasam.ca/messier/M089.JPG;Vir
M90;NGC 4560;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:36:49.79;+13:09:46.6;41000000;9,5' x 4,7';/static/images/messier/M90.jpg;http://www.lasam.ca/messier/M090.JPG;Vir
M91;NGC 4548;Galaxy / Galaxie;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:35:26.45;+14:29:46.8;37000000;5,4' x 4,4';/static/images/messier/M91.jpg;http://www.lasam.ca/messier/M091.JPG;Com
M92;NGC 6341;Globular Cluster / Amas Globulaire;Summer / Été;6;Hercules;Hercule;Hercules;17:17:07.27;+43:08:11.5;28400;12,2';/static/images/messier/M92.jpg;http://www.lasam.ca/messier/M092.JPG;Her
M93;NGC 2447;Open Cluster / Amas Ouvert;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:44:29.23;-23:51:11.1;3600;22,0';/static/images/messier/M93.jpg;http://www.lasam.ca/messier/M093.JPG;Pup
M94;NGC 4736;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:50:53.06;+41:07:13.6;32600000;11,0' x 9,1';/static/images/messier/M94.jpg;http://www.lasam.ca/messier/M094.JPG;CVn
M95;NGC 3351;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:43:57.70;+11:42:13.7;20300000;7,4' x 5,1';/static/images/messier/M95.jpg;http://www.lasam.ca/messier/M095.JPG;Leo
M96;NGC 3368;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:46:45.74;+11:49:11.8;29300000;7,1' x 5,1';/static/images/messier/M96.jpg;http://www.lasam.ca/messier/M096.JPG;Leo
M97;NGC 3587;Planetary Nebula / Nébuleuse Planétaire;Spring / Printemps;11;Big Bear;Grande Ourse;Ursa Major;11:14:47.71;+55:01:08.5;10000;194'';/static/images/messier/M97.jpg;http://www.lasam.ca/messier/M097.JPG;UMa
M98;NGC 4192;Galaxy / Galaxie;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:13:48.29;+14:54:01.2;36000000;9,5' x 3,2';/static/images/messier/M98.jpg;http://www.lasam.ca/messier/M098.JPG;Com
M99;NGC 4254;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:18:49.60;+14:24:59.4;41000000;5,4' x 4,8';/static/images/messier/M99.jpg;http://www.lasam.ca/messier/M099.JPG;Com
M100;NGC 4321;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:22:54.83;+15:49:18.5;41000000;6,9' x 6,2';/static/images/messier/M100.jpg;http://www.lasam.ca/messier/M100.JPG;Com
M101;NGC 5457;Galaxy / Galaxie;Spring / Printemps;7;Big Bear;Grande Ourse;Ursa Major;14:03:12.54;+54:20:56.2;23000000;27,0' x 26,0';/static/images/messier/M101.jpg;http://www.lasam.ca/messier/M101.JPG;UMa
M102;NGC 5866;Galaxy / Galaxie;Spring / Printemps;10;;;;15:06:29.5 ;+55:45:48.1;23000000;5,2' x 2,3';/static/images/messier/M102.jpg;http://www.lasam.ca/messier/M102.JPG;
M103;NGC 581;Open Cluster / Amas Ouvert;Autumn / Automne;7;Cassiopeia;Cassiopée;Cassiopeia;01:33:21.81;+60:39:28.8;8500;5,0';/static/images/messier/M103.jpg;http://www.lasam.ca/messier/M103.JPG;Cas
M104;NGC 4594;Galaxy / Galaxie;Spring / Printemps;8;Crow;Corbeau;Corvus;12:39:59.43;-11:37:23.0;40000000;8,9' x 4,1';/static/images/messier/M104.jpg;http://www.lasam.ca/messier/M104.JPG;Crv
M105;NGC 3379;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:47:49.59;+12:34:53.8;21500000;4,5' x 4,0';/static/images/messier/M105.jpg;http://www.lasam.ca/messier/M105.JPG;Leo
M106;NGC 4258;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:18:57.50;+47:18:14.3;20000000;18,0' x 7,9';/static/images/messier/M106.jpg;http://www.lasam.ca/messier/M106.JPG;CVn
M107;NGC 6171;Globular Cluster / Amas Globulaire;Summer / Été;8;Serpent Holder;Ophiuchus;Ophiuchus;16:32:31.92;-13:03:13.1;19200;7,8';/static/images/messier/M107.jpg;http://www.lasam.ca/messier/M107.JPG;Oph
M108;NGC 3556;Galaxy / Galaxie;Spring / Printemps;10;Big Bear;Grande Ourse;Ursa Major;11:11:30.97;+55:40:26.8;23500000;8,3' x 2,5';/static/images/messier/M108.jpg;http://www.lasam.ca/messier/M108.JPG;UMa
M109;NGC 3992;Galaxy / Galaxie;Autumn / Automne;9;Big Bear;Grande Ourse;Ursa Major;11:57:35.98;+53:22:28.3;27000000;7,6' x 4,9';/static/images/messier/M109.jpg;http://www.lasam.ca/messier/M109.JPG;UMa
M110;NGC 205;Galaxy / Galaxie;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:40:22.08;+41:41:07.1;2250000;17,0, x 9,8';/static/images/messier/M110.jpg;http://www.lasam.ca/messier/M110.JPG;And
